first_authors;master_study_number;study_number;study_area;ID;study_title;study_date;incidence_YN;denominator;incidence_definition;incidence_diagnostics;case_numbers_vivax;case_numbers_falciparum;case_numbers_mixed;incidence_rate_vivax;incidence_rate_vivax_loCI;incidence_rate_vivax_upCI;incidence_rate_falciparum;incidence_rate_falciparum_loCI;incidence_rate_falciparum_upCI;incidence_rate_mixed;incidence_rate_mixed_loCI;incidence_rate_mixed_upCI;incidence_rate_all;incidence_rate_all_loCI;incidence_rate_all_upCI;mixed_what_done;unit_incidence_rate;date_start_incidence;sample_size_incidence_number_people;date_end_incidence;comments_incidence;prevalence_YN;prevalence_vivax_LM;prevalence_vivax_LM_loCI;prevalence_vivax_LM_upCI;prevalence_falciparum_LM;prevalence_falciparum_LM_loCI;prevalence_falciparum_LM_upCI;prevalence_mixed_LM;prevalence_mixed_LM_loCI;prevalence_mixed_LM_upCI;prevalence_total_LM;prevalence_total_LM_loCI;prevalence_total_LM_upCI;prevalence_vivax_PCR;prevalence_vivax_PCR_loCI;prevalence_vivax_PCR_upCI;prevalence_falciparum_PCR;prevalence_falciparum_PCR_loCI;prevalence_falciparum_PCR_upCI;prevalence_mixed_PCR;prevalence_mixed_PCR_loCI;prevalence_mixed_PCR_upCI;prevalence_total_PCR;prevalence_total_PCR_loCI;prevalence_total_PCR_upCI;prevalence_vivax_RDT;prevalence_vivax_RDT_loCI;prevalence_vivax_RDT_upCI;prevalence_falciparum_RDT;prevalence_falciparum_RDt_loCI;prevalence_falciparum_RDT_upCI;prevalence_mixed_RDT;prevalence_mixed_RDT_loCI;prevalence_mixed_RDT_upCI;prevalence_total_RDT;prevalence_total_RDT_loCI;prevalence_total_RDT_upCI;pr_numb_vivax_LM;pr_numb_falciparum_LM;pr_numb_mixed_LM;pr_numb_total_LM;pr_numb_vivax_PCR;pr_numb_falciparum_PCR;pr_numb_mixed_PCR;pr_numb_total_PCR;pr_what_done_mixed;prevalence_PCR_diagnostic_method;date_start_prevalence;date_end_prevalence;sample_size_prevalence;comments_prevalence;intervention_YN;mode_control;Intervention1;Intervention2;Intervention3;Intervention5;Intervention6;Intervention4;Intervention7;Intervention8;Intervention9;coverage1;coverage2;coverage3;coverage4;coverage6;coverage5;coverage7;coverage8;coverage9;implementation1_start;implementation1_end;implementation2_start;implementation2_end;implementation3_start;implementation3_end;implementation4_start;implementation4_end;implementation5_start;implementation6_start;implementation6_end;implementation5_end;implementation7_start;implementation7_end;implementation8_start;implementation8_end;implementation9_start;implementation9_end;implementation_dates_exact;implementation_dates_exact_comment;baselin_intervention;standard_of_care;relapse_pattern_mean_number;relapse_pattern_white;relapse_pattern_zone;relapse_pattern_mean_days;seasonality;season_survey_incidence;season_survey_prevalence;transmission;age_incidence;age_prevalence;cluster_trial_concern;cluster_trial_addressed;numb_cluster;data_available;comments;latitude;longitude;study_type;transmission_vivax;transmission_falciparum;trans_viv_int1;trans_viv_int2;trans_viv_int3;trans_viv_int4;trans_falc_int1;trans_falc_int2;trans_falc_int3;trans_falc_int4
Ome-Kaius, Maria;1;1;Papua New Guinea, Ilahita area of Maprik district, East Sepik Province;1;Differential impact of malaria control interventions on P.falciparum and P.vivax infections in young Papua New Guinean children;2019;WAHR;FALSCH;(history) of febrile illness 48h, LM detected, any density;microscopy;;;;2.46;2.27;2.66;2.56;2.36;2.77;;;;;;;doesn't say;episodes/child/year-at-risk;01.03.2006;264;01.08.2007;;WAHR;45.30;42.3;48.3;24.8;21.9;27.6;;;;;;;59.6;56.6;62.4;41.6;38.4;44.9;;;;79.4;76.7;81.9;;;;;;;;;;;;;;;;;;;;;doesn't say;qPCR (in 2nd and 3rd surevy), in first survey: semi quantitative post-PCR ligase detection reaction/fluorescent microscpehere assay;01.03.2006;01.08.2007;264;sample size is the number of children in the cohort;WAHR;vector and drug;LLIN 1st round;LLIN 2nd round;;;;;;;;high ('nearly universal');missing;;;;;;;;01.01.2008;01.04.2008;01.01.2011;31.05.2011;;;;;;;;;;;;;;;WAHR;exact at least for the LLIN, also for second round LLIN from graph;nothing;AL or amodiaquine and SP, no primaquine, switch to AL and also primaquine in beginning of 2012, also then test and treat approach;;frequent;12;;0.2;both;both;;1-3 yo;1-3 yo;yes, different villages;no, take into account clustering of repeated measurements in childred;11;WAHR;data available upon reasonable request!;-3.626305;143.054159;observational;5.757;22.629;high;high;;;high;high;;
Ome-Kaius, Maria;1;1;Papua New Guinea, Ilahita area of Maprik district, East Sepik Province;2;Differential impact of malaria control interventions on P.falciparum and P.vivax infections in young Papua New Guinean children;2019;WAHR;FALSCH;(history) of febrile illness 48h, LM detected, any density;microscopy;;;;1.11;0.9;1.36;0.76;0.57;1.01;;;;;;;doesn't say;episodes/child/year-at-risk;01.04.2008;149;01.02.2009;;WAHR;49.40;45.4;53.5;12.8;10;16.2;;;;;;;65;61.4;68.4;22.1;7.7;27.3;;;;77;73.4;80.3;;;;;;;;;;;;;;;;;;;;;doesn't say;qPCR (in 2nd and 3rd surevy), in first survey: semi quantitative post-PCR ligase detection reaction/fluorescent microscpehere assay;01.04.2008;01.02.2009;149;sample size is the number of children in the cohort;WAHR;vector and drug;LLIN 1st round;LLIN 2nd round;;;;;;;;high ('nearly universal');missing;;;;;;;;01.01.2008;01.04.2008;01.01.2011;31.05.2011;;;;;;;;;;;;;;;WAHR;exact at least for the LLIN, also for second round LLIN from graph;nothing;AL or amodiaquine and SP, no primaquine, switch to AL and also primaquine in beginning of 2012, also then test and treat approach;;frequent;12;;0.2;both;both;;1-3 yo;1-3 yo;yes, different villages;no, take into account clustering of repeated measurements in childred;11;WAHR;data available upon reasonable request!;-3.626305;143.054159;observational;4.876;14.245;high;high;;;high;high;;
Ome-Kaius, Maria;1;1;Papua New Guinea, Ilahita area of Maprik district, East Sepik Province;3;Differential impact of malaria control interventions on P.falciparum and P.vivax infections in young Papua New Guinean children;2019;WAHR;FALSCH;(history) of febrile illness 48h, LM detected, any density;microscopy;;;;0.23;0.13;0.24;0.21;0.14;0.28;;;;;;;doesn't say;episodes/child/year-at-risk;01.07.2013;371;01.07.2014;;WAHR;11.40;9.5;13.6;4.5;3.5;5.8;;;;;;;19.6;16.9;22.6;11.2;9.2;13;;;;25.6;22.5;29;;;;;;;;;;;;;;;;;;;;;doesn't say;qPCR (in 2nd and 3rd surevy), in first survey: semi quantitative post-PCR ligase detection reaction/fluorescent microscpehere assay;01.07.2013;01.07.2014;371;sample size is the number of children in the cohort;WAHR;vector and drug;LLIN 1st round;LLIN 2nd round;;;;;;;;high ('nearly universal');missing;;;;;;;;01.01.2008;01.04.2008;01.01.2011;31.05.2011;;;;;;;;;;;;;;;WAHR;exact at least for the LLIN, also for second round LLIN from graph;nothing;AL or amodiaquine and SP, no primaquine, switch to AL and also primaquine in beginning of 2012, also then test and treat approach;;frequent;12;;0.2;both;both;;1-3 yo;1-3yo;yes, different villages;no, take into account clustering of repeated measurements in childred;12;WAHR;data available upon reasonable request!;-3.626305;143.054159;observational;3.959;0.98;high;high;;;high;high;;
Koepfli, Christian;6;7;Papua New Guinea, Madang area;43;Sustained Malaria Control Over an 8-Year Period in Papua New Guinea: The Challenge of Low-Density Asymptomatic Plasmodium Infections;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;223;435;;1280;534;539;265;1280;mixed counted towards falciparum and vivax cases as well (probably), otherwise would be supe rhigh numbers!;qPCR;01.03.2006;30.04.2006;1280;decide if it is reasonable to asume mixed ones have been counted towards both falciparum and vivax;WAHR;drug and vector;LLIN 1st dist;LLIN 2nd distribution;;;;;;;;missing;missing;;;;;;;;01.01.2008;31.12.2009;01.01.2011;31.12.2012;;;;;;;;;;;;;;;FALSCH;no, just says in this time span of two years;none mentioned, in 2006 already had some net usage;2012: AL as first line treatment, also adaption of primaquine for vivax (before doesnt say but probably same as ome-kaius);;frequent;12;;0.2;NA;wet;;NA;all ages;yes, different catchments;no, not necessarily same villages in 3 surveys, 'cases treated as independent observations';16;FALSCH;none found;-5.22622;145.775056;observational;4.164;0.266;high;high;;;high;high;;
Koepfli, Christian;6;7;Papua New Guinea, Madang area;44;Sustained Malaria Control Over an 8-Year Period in Papua New Guinea: The Challenge of Low-Density Asymptomatic Plasmodium Infections;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147;156;;1094;271;396;82;2117;mixed counted towards falciparum and vivax cases as well (probably), otherwise would be supe rhigh numbers!;qPCR;15.05.2010;01.07.2010;1094;decide if it is reasonable to asume mixed ones have been counted towards both falciparum and vivax;WAHR;drug and vector;LLIN 1st dist;LLIN 2nd distribution;;;;;;;;missing;missing;;;;;;;;01.01.2008;31.12.2009;01.01.2011;31.12.2012;;;;;;;;;;;;;;;FALSCH;no, just says in this time span of two years;none mentioned, in 2006 already had some net usage;2012: AL as first line treatment, also adaption of primaquine for vivax (before doesnt say but probably same as ome-kaius);;frequent;12;;0.2;NA;dry;;NA;all ages;yes, different catchments;no, not necessarily same villages in 3 surveys, 'cases treated as independent observations';16;FALSCH;none found;-5.22622;145.775056;observational;4.005;0.88;high;high;;;high;high;;
Koepfli, Christian;6;7;Papua New Guinea, Madang area;45;Sustained Malaria Control Over an 8-Year Period in Papua New Guinea: The Challenge of Low-Density Asymptomatic Plasmodium Infections;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;69;;2513;496;226;41;2517;mixed counted towards falciparum and vivax cases as well (probably), otherwise would be supe rhigh numbers!;qPCR;15.05.2014;01.07.2014;2513;decide if it is reasonable to asume mixed ones have been counted towards both falciparum and vivax;WAHR;drug and vector;LLIN 1st dist;LLIN 2nd distribution;;;;;;;;missing;missing;;;;;;;;01.01.2008;31.12.2009;01.01.2011;31.12.2012;;;;;;;;;;;;;;;FALSCH;no, just says in this time span of two years;none mentioned, in 2006 already had some net usage;2012: AL as first line treatment, also adaption of primaquine for vivax (before doesnt say but probably same as ome-kaius);;frequent;12;;0.2;NA;dry;;NA;all ages;yes, different catchments;no, not necessarily same villages in 3 surveys, 'cases treated as independent observations';16;FALSCH;none found;-5.22622;145.775056;observational;4.842;2.389;high;high;;;high;high;;
Kattenberg, Johanna H.;3;3;Papua New Guinea, Ilahita 3;46;The epidemiology of Plasmodium falciparum and Plasmodium vivax in East Sepik Province, Papua New Guinea, pre- and post-implementation of national malaria control efforts;2020;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;85;;148;counted towards both;qPCR or LDR-FMA;01.04.2005;31.05.2005;148;;WAHR;drug and vector;LLIN 1st dist;LLIN 2nd dist;;;;;;;;94.9% reported use of nets;94.9% reported use of nets;;;;;;;;01.01.2008;31.12.2008;01.09.2011;30.09.2011;;;;;;;;;;;;;;;FALSCH;N, LLIN 1st round in 2008, test and treat end of 2011 beginning of 2012;no spraying mentioned, had nets before. Coverage around 88% but most likely untreated nets;before switch (according to omekaius): AL or amodiaquine and SP, end 2011 beginnning of 2012 switch to AL as first line and primaquine for vivax: for 14 days 0.25mg/kg;;frequent;12;;0.2;NA;missing;;NA;all ages;no, seperate data for villages;not necessary;NA;WAHR;data upon reasonable request;-3.712998;142.959616;observational;5.149;9.045;high;low;;;high;high;;
Kattenberg, Johanna H.;3;3;Papua New Guinea, Ilahita 3;47;The epidemiology of Plasmodium falciparum and Plasmodium vivax in East Sepik Province, Papua New Guinea, pre- and post-implementation of national malaria control efforts;2020;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;146;counted towards both;qPCR or LDR-FMA;01.10.2012;28.02.2013;146;;WAHR;drug and vector;LLIN 1st dist;LLIN 2nd dist;;;;;;;;94.9% reported use of nets;94.9% reported use of nets;;;;;;;;01.01.2008;31.12.2008;01.09.2011;30.09.2011;;;;;;;;;;;;;;;FALSCH;N, LLIN 1st round in 2008, test and treat end of 2011 beginning of 2012;no spraying mentioned, had nets before. Coverage around 88% but most likely untreated nets;before switch (according to omekaius): AL or amodiaquine and SP, end 2011 beginnning of 2012 switch to AL as first line and primaquine for vivax: for 14 days 0.25mg/kg;;frequent;12;;0.2;NA;wet;;NA;all ages;no, seperate data for villages;not necessary;NA;WAHR;data upon reasonable request;-3.712998;142.959616;observational;3.27;9.629;high;low;;;high;high;;
Graves, P.M.;7;8;Papua New Guinea, near Madang;48;Reduction in incidence and prevalence of Plasmodium falciparum in under-5-year-old children by permethrin impregnation of mosquito nets;1987;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;36;;97;;;;;doesn't say;;01.09.1985;15.09.1985;97;;WAHR;drug and vector;treatment (chloroquine and sulfadoxine/pyrimethamine) (first time);permethrin-impregnated nets (many owned nets before, not sure when and how they got them);;;;;;;;76.9% chloroquine and 89.5% SP;high, 98.6 reported using net in final survey;;;;;;;;13.09.1985;15.09.1985;13.09.1985;15.09.1985;;;;;;;;;;;;;;;WAHR;they are exact because it is an RCT so we know the time difference between measurement and implementation;many children already had a net before, nothing else mentioned;probably chloroquine (villages have village aid that give this as presumptive treatment);;frequent;12;;0.2;NA;dry;in table 7, for Pf: before all below 1,  as well for vivax;NA;under 10;yes, i think although give data for villages seperately, but i aggregated data for bigger sample size;not necessary;4;FALSCH;no data available found;-5.22622;145.775056;trial but control group with untreated nets;4.214;0.434;high;high;;;high;high;;
Graves, P.M.;7;8;Papua New Guinea, near Madang;49;Reduction in incidence and prevalence of Plasmodium falciparum in under-5-year-old children by permethrin impregnation of mosquito nets;1987;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;13;;97;;;;;doesn't say;;10.11.1985;24.11.1985;97;;WAHR;drug and vector;treatment (chloroquine and sulfadoxine/pyrimethamine) (first time);permethrin-impregnated nets (many owned nets before, not sure when and how they got them);;;;;;;;76.9% chloroquine and 89.5% SP;high, 98.6 reported using net in final survey;;;;;;;;13.09.1985;15.09.1985;13.09.1985;15.09.1985;;;;;;;;;;;;;;;WAHR;they are exact because it is an RCT so we know the time difference between measurement and implementation;many children already had a net before, nothing else mentioned;probably chloroquine (villages have village aid that give this as presumptive treatment);;frequent;12;;0.2;NA;wet;in table 7, for Pf: before all below 1,  as well for vivax;NA;under 10;yes, i think although give data for villages seperately, but i aggregated data for bigger sample size;not necessary;4;FALSCH;no data available found;-5.22622;145.775056;trial but control group with untreated nets;4.214;0.434;high;high;;;high;high;;
